4,6453;5,6724;4,3488;;
9,3838;10,1581;9,3651;;
14,0571;15,1069;13,7501;;
18,6509;19,685;18,8062;;
23,3627;24,54;23,2986;;
28,1543;29,1202;28,1455;;
32,8104;33,9464;32,7608;;
37,5567;38,5729;37,5501;;
42,1825;43,3208;42,048;;
46,9657;47,9316;46,9705;;
51,5823;52,7139;51,6357;;
56,3819;57,4046;56,2483;;
61,0369;62,1392;60,988;;
65,7703;66,7491;65,6946;;
70,3808;71,5547;70,3297;;
75,0574;76,1642;75,0799;;
79,7565;80,9654;79,6954;;
84,4816;85,6213;84,625;;
89,2138;90,2888;89,082;;
93,901;95,0022;93,9148;;
98,5647;99,7219;98,5135;;
103,2595;104,4047;103,3902;;
108,0059;109,1186;107,9059;;
112,6811;113,7481;112,7936;;
117,3804;118,4823;117,2525;;
122,1325;123,1853;122,2638;;
126,7654;127,9165;126,7312;;
131,464;132,5694;131,6226;;
136,1888;137,286;135,9833;;
140,9162;141,9677;140,8957;;
145,5303;146,6716;145,3845;;
150,3368;151,3722;150,4138;;
154,8802;156,1326;154,9772;;
159,6466;160,7756;159,8274;;
164,3576;165,5124;164,1879;;
169,0823;170,1502;169,29;;
173,7197;174,9035;173,6281;;
178,4713;179,5531;178,4411;;
183,1938;184,2708;182,9453;;
187,8932;188,8858;188,0189;;
192,5623;193,6882;192,4781;;
197,232;198,4185;197,5123;;
201,9134;203,0508;201,733;;
206,712;207,6702;206,7124;;
211,304;212,4244;211,1756;;
215,9951;217,0186;216,0238;;
220,6629;221,808;220,643;;
225,4768;226,5025;225,4127;;
230,1607;231,3029;230,1253;;
